Errors
1705
1705
1657
1704
1657
1730
1735
1742
1800
1932
2032
2176
2259
2254
2203
2204
2256
2247
2285
2234
2301
2307
2341
2395
2410
2440
2447
2466
2465
2446
2379
2325
2309
2255
2257
2235
2185
2222
2175
2123
2065
1926
1826
1759
1697
1643
1578
1553
1585
1677
1844
1958
2028
1903
1658
1277
1067
916
893
986
1183
1474
1822
1918
1932
1927
1876
1883
1876
1861
1771
1604
1519
1472
1357
1335
1320
1311
1290
1243
1267
1226
1276
1252
1308
1245
1160
1104
1053
970
815
721
647
540
423
332
193
84
-48
-187
-348
-461
-595
-711
-867
-993
-1176
-1269
-1299
-1406
-1433
-1513
-1575
-1577
-1605
-1609
-1619
-1607
-1650
-1598
-1535
-1519
-1536
-1523
-1567
-1585
-1591
-1575
-1556
-1599
-1588
-1616
-1647
-1686
-1744
-1766
-1791
-1864
-1927
-2012
-1996
-1997
-1973
-1974
-1966
-1954
-1980
-1912
-1828
-1727
-1569
-1456
-1399
-1368
-1427
-1573
-1737
-1831
-1790
-1776
-1755
-1747
-1747
-1704
-1678
-1640
-1636
-1592
-1541
-1485
-1528
-1594
-1647
-1743
-1769
-1766
-1795
-1766
-1744
-1783
-1750
-1770
-1755
-1702
-1677
-1724
-1716
-1650
-1640
-1660
-1662
-1749
-1795
-1960
-2026
-2050
-2051
-2053
-2052
-2053
-2067
-2036
-1987
-1908
-1914
-1876
-1914
-1920
-1908
-1846
-1866
-1882
-1857
-1801
-1802
-1799
-1750
-1763
-1720
-1719
-1772
-1755
-1798
-1776
-1791
-1769
-1748
-294
-1676
-1645
-1571
-1505
-1478
-1418
-1402
-1347
-1316
-1324
-1282
-1230
-1174
-1138
-1140
-1096
-1083
-1029
-1034
-1041
-1042
-1064
-1067
-1101
-1146
-1151
-1122
-1182
-1163
-1236
-1313
-1269
-1137
-981
-840
-749
-706
-779
-960
-1092
-1377
-1695
-1780
-1681
-1481
-1294
-1105
-1064
-1015
-932
-805
-742
-652
-588
-550
-489
-419
-322
-255
-184
-47
46
57
186
348
485
605
659
691
631
667
824
929
1040
1014
-66
926
888
914
945
979
978
1022
1018
1032
1083
1072
1102
1135
1239
1205
1288
1376
1485
1656
1792
1869
1957
2007
2064
2235
2473
2642
2917
3292
3588
3775
4002
3735
3259
2679
2032
1090
-779
-633
-1036
-1473
-2106
-2754
-2915
-2482
-2127
-1709
-1298
-1076
-865
-533
-234
162
485
734
913
979
1017
1066
1126
1128
1175
1180
1176
1190
1101
1047
1202
1236
1175
996
844
705
610
556
-4
588
660
745
913
1055
1208
1180
1065
894
842
729
688
692
660
579
591
545
492
510
394
425
351
322
309
277
267
225
187
200
167
150
84
115
42
50
95
52
-779
72
42
35
54
9
-6
-79
-125
-164
-244
-391
-587
