-1019	687	594	828	1419	640	663	617	663
-1000	688	595	806	1420	641	664	618	664
-1000	688	595	806	1420	641	664	618	664
-998	689	596	806	1421	642	665	619	665
-1021	688	595	829	1420	641	664	618	664
-1019	688	595	816	1430	641	664	618	664
-1021	688	595	829	1420	641	664	618	664
-1003	690	597	808	1424	643	666	620	666
-990	689	596	807	1434	666	666	619	666
-1005	713	596	807	1447	665	665	619	689
-938	712	596	783	1422	688	665	619	688
-881	699	596	770	1386	699	653	629	676
-827	712	596	759	1375	736	665	619	689
-768	712	596	746	1338	746	666	619	689
-672	712	596	736	1304	783	688	619	688
-603	688	596	736	1256	806	688	619	688
-519	699	606	723	1172	817	675	629	675
-414	688	596	712	1125	841	688	642	688
-322	689	596	689	1078	865	689	619	689
-253	688	596	688	1030	888	688	642	688
-183	689	597	689	983	912	689	620	689
-159	666	597	666	960	936	666	620	666
-56	666	573	666	902	983	666	619	666
44	666	574	666	855	1044	666	620	690
156	665	573	665	807	1115	665	619	665
261	676	584	653	771	1184	676	630	676
402	666	573	666	737	1291	689	619	689
510	665	573	665	713	1387	689	619	689
630	689	573	666	689	1472	713	619	689
767	677	584	653	653	1554	747	630	700
834	689	573	666	642	1599	760	642	713
875	689	573	666	642	1622	784	642	713
892	677	584	653	630	1647	771	630	700
885	665	573	665	642	1635	783	642	712
884	666	573	666	642	1623	794	642	713
834	666	573	666	642	1575	784	642	713
833	665	573	665	642	1575	783	642	712
815	666	573	666	642	1553	784	642	713
814	674	582	674	650	1571	768	650	697
784	664	595	664	664	1572	758	641	711
783	675	583	675	675	1572	745	651	722
699	688	595	664	688	1525	735	641	711
644	674	605	674	698	1454	745	651	721
548	687	595	664	734	1406	734	641	711
485	674	582	674	745	1336	721	651	721
385	676	583	676	770	1268	699	652	723
327	676	584	676	770	1197	700	653	723
225	666	574	666	807	1163	689	643	713
188	675	583	675	840	1125	699	652	723
143	676	573	653	875	1088	710	653	733
38	665	573	665	924	1066	712	642	712
12	676	573	676	958	1030	699	676	723
-118	648	579	672	1002	978	695	648	719
-201	666	551	666	1030	936	690	643	713
-229	665	573	665	1066	900	712	642	735
-343	666	550	689	1115	878	689	642	713
-393	665	550	688	1162	877	688	642	712
-437	665	573	689	1186	854	689	642	712
-439	653	561	700	1220	865	700	653	723
-510	665	573	689	1256	854	689	642	713
-483	666	574	689	1280	854	689	666	736
-509	653	561	699	1267	841	699	653	723
-481	665	573	712	1256	853	688	665	735
-511	652	560	699	1267	841	699	652	723
-509	676	561	699	1267	841	699	653	723
-482	666	574	712	1267	841	712	666	736
-471	665	573	712	1267	853	712	665	735
-460	676	573	699	1220	841	699	653	723
-390	676	561	699	1172	864	699	653	723
-367	665	573	689	1138	877	689	642	713
-324	665	573	688	1114	900	688	642	712
-284	676	583	676	1101	911	699	652	699
-250	689	574	666	1067	925	689	643	713
-182	689	573	666	1030	959	689	642	713
-111	689	573	665	971	971	689	642	712
-73	688	573	665	948	996	688	642	688
-9	687	571	663	922	1040	687	640	687
35	687	572	664	899	1065	687	641	687
123	698	583	675	863	1099	698	651	698
166	687	572	664	852	1136	711	641	687
236	687	572	664	805	1160	711	641	687
284	687	572	664	782	1183	711	641	711
346	688	572	641	782	1255	711	641	711
414	699	561	653	747	1292	699	653	699
481	689	573	642	736	1352	712	642	712
560	699	560	652	723	1410	723	652	699
619	723	561	653	723	1457	723	653	723
580	723	560	652	723	1433	723	652	699
548	722	573	642	722	1409	722	642	699
550	722	573	652	746	1409	722	652	722
486	722	560	652	769	1361	722	652	722
417	712	573	642	783	1303	712	665	712
377	712	573	642	783	1256	712	665	712
334	722	560	652	817	1244	722	652	722
331	712	573	665	830	1209	735	665	735
266	712	573	665	853	1162	735	665	735
228	722	584	675	864	1124	746	675	722
154	735	596	688	900	1089	735	665	735
135	735	596	688	923	1065	735	688	735
18	711	573	665	947	1042	711	665	711
-78	723	573	676	982	1006	699	652	699
-114	712	573	665	995	971	689	665	689
-191	723	584	676	1053	959	699	653	699
-292	713	573	666	1101	925	689	642	689
-329	713	573	689	1115	901	689	642	689
-353	712	573	689	1138	901	689	642	689
-371	713	574	689	1138	878	689	643	689
-418	712	596	688	1161	877	665	619	688
-417	723	584	699	1148	864	676	630	676
-449	713	596	689	1172	854	665	619	665
-414	736	596	689	1138	854	666	620	666
-414	736	596	689	1138	854	666	619	666
-444	723	606	700	1149	864	653	606	653
-393	713	596	690	1116	855	643	596	643
-387	722	582	675	1099	839	652	605	628
-365	712	595	688	1089	853	641	595	618
