-206	828	664	734	1040	1111	711	664	734
-188	839	675	721	1027	1122	721	675	721
-158	829	665	735	1018	1136	711	665	735
-140	828	664	734	1017	1159	711	664	734
-120	828	664	734	1017	1182	711	664	734
-76	828	664	711	1003	1193	711	664	734
-26	828	665	711	970	1207	711	665	735
11	828	664	711	946	1254	711	664	711
84	815	674	721	909	1264	721	674	721
81	828	664	711	899	1278	711	664	711
127	806	665	711	900	1302	711	665	711
126	805	664	711	899	1303	711	664	711
115	805	665	711	900	1289	711	665	711
146	805	642	711	900	1290	711	665	711
98	805	642	711	899	1265	711	642	711
92	805	641	688	899	1255	688	641	711
137	782	641	688	900	1278	688	641	711
135	782	642	688	900	1276	688	642	712
94	793	652	699	911	1266	699	652	699
95	805	641	711	899	1255	688	665	688
97	792	652	698	910	1265	698	652	698
94	793	652	698	911	1266	698	652	698
141	778	638	708	919	1274	708	661	708
106	781	641	710	922	1263	687	664	710
76	791	651	697	908	1239	697	651	697
118	781	640	687	922	1253	687	664	710
58	780	640	687	945	1239	687	640	710
69	780	640	687	945	1252	687	640	710
1	781	641	710	969	1229	687	641	710
-22	782	641	711	994	1231	688	641	711
-65	782	642	712	1018	1208	689	642	712
-43	759	642	735	1018	1208	712	642	712
-23	759	642	712	1018	1207	712	642	712
-17	759	642	712	995	1208	689	642	712
-37	735	641	711	994	1183	688	641	711
-59	735	642	711	994	1160	688	642	711
-81	735	641	711	1017	1160	688	641	711
-105	735	642	711	1018	1136	688	642	711
-123	735	642	712	1018	1113	688	642	712
-86	746	629	698	1029	1124	675	652	722
-113	735	619	711	1042	1089	688	665	711
-133	736	619	712	1066	1090	689	665	712
-116	735	619	711	1065	1112	688	665	711
-53	735	619	711	1018	1099	688	665	735
-62	735	619	711	1018	1089	688	665	735
-62	735	619	712	1018	1089	688	665	735
-39	735	619	712	1018	1113	689	665	735
